VCC	V(rc)	I(RC)
Step Information: VBB=9.5  (Step: 1/3)
8.700000000000001e+00	5.700668e+00	2.999332e-03
8.800000000000001e+00	5.800668e+00	2.999332e-03
8.900000000000000e+00	5.900668e+00	2.999332e-03
9.000000000000000e+00	6.000668e+00	2.999332e-03
9.100000000000000e+00	6.100668e+00	2.999332e-03
9.200000000000001e+00	6.200668e+00	2.999332e-03
9.300000000000001e+00	6.300668e+00	2.999332e-03
9.400000000000000e+00	6.400668e+00	2.999332e-03
9.500000000000000e+00	6.500668e+00	2.999332e-03
9.600000000000001e+00	6.600668e+00	2.999332e-03
9.700000000000001e+00	6.700668e+00	2.999332e-03
9.800000000000001e+00	6.800668e+00	2.999332e-03
9.900000000000000e+00	6.900668e+00	2.999332e-03
1.000000000000000e+01	7.000668e+00	2.999332e-03
